U_ADS	19	AVDD	AVDD	gge132
U_ADS	2	IN8P	IN8P	gge132
U_ADS	20	AVSS	AVSS	gge132
U_ADS	21	AVDD	AVDD	gge132
U_ADS	22	AVDD	AVDD	gge132
U_ADS	23	AVSS	AVSS	gge132
U_ADS	24	VREFP	VREFP	gge132
U_ADS	25	VREFN	AVSS	gge132
U_ADS	26	VCAP4	VCAP4	gge132
U_ADS	27	NC	NC	gge132
U_ADS	28	VCAP1	VCAP1	gge132
U_ADS	29	NC	NC	gge132
U_ADS	3	IN7N	IN7N	gge132
U_ADS	30	VCAP2	VCAP2	gge132
U_ADS	31	RESV1	GND	gge132
U_ADS	32	AVSS	AVSS	gge132
U_ADS	33	DGND	GND	gge132
U_ADS	34	DIN	ADS_DIN_LOC	gge132
U_ADS	35	PWDN#	ADS_PWDN_N	gge132
U_ADS	36	RESET#	ADS_RESET_N	gge132
U_ADS	37	CLK	NC	gge132
U_ADS	38	START	ADS_START	gge132
U_ADS	39	CS#	ADS_CS_N	gge132
U_ADS	4	IN7P	IN7P	gge132
U_ADS	40	SCLK	ADS_SCLK_LOC	gge132
U_ADS	41	DAISY_IN	GND	gge132
U_ADS	42	GPIO1	GND	gge132
U_ADS	43	DOUT	ADS_DOUT_LOC	gge132
U_ADS	44	GPIO2	GND	gge132
U_ADS	45	GPIO3	GND	gge132
U_ADS	46	GPIO4	GND	gge132
U_ADS	47	DRDY#	ADS_DRDY_N	gge132
U_ADS	48	DVDD	DVDD	gge132
U_ADS	49	DGND	GND	gge132
U_ADS	5	IN6N	IN6N	gge132
U_ADS	50	DVDD	DVDD	gge132
U_ADS	51	DGND	GND	gge132
U_ADS	52	CLKSEL	DVDD	gge132
U_ADS	53	AVSS1	AVSS	gge132
U_ADS	54	AVDD1	AVDD	gge132
U_ADS	55	VCAP3	VCAP3	gge132
U_ADS	56	AVDD	AVDD	gge132
U_ADS	57	AVSS	AVSS	gge132
U_ADS	58	AVSS	AVSS	gge132
U_ADS	59	AVDD	AVDD	gge132
U_ADS	6	IN6P	IN6P	gge132
U_ADS	60	BIASREF	NC	gge132
U_ADS	61	BIASINV	BIAS_INV	gge132
U_ADS	62	BIASIN	NC	gge132
U_ADS	63	BIASOUT	BIAS_OUT_INT	gge132
U_ADS	64	RESERVED	NC	gge132
U_ADS	7	IN5N	IN5N	gge132
U_ADS	8	IN5P	IN5P	gge132
U_ADS	9	IN4N	IN4N	gge132
U_MCU	1	GND	GND	gge37
U_MCU	10	IO25	NC	gge37
U_MCU	11	IO26	NC	gge37
U_MCU	12	IO27	ADS_DRDY_N	gge37
U_MCU	13	IO14	ADS_START	gge37
U_MCU	14	IO12	ADS_RESET_N	gge37
U_MCU	15	GND	GND	gge37
U_MCU	16	IO13	ADS_PWDN_N	gge37
U_MCU	17	NC	NC	gge37
U_MCU	18	NC	NC	gge37
U_MCU	19	NC	NC	gge37
U_MCU	2	3V3	VDD_ESP	gge37
